date,retweets,favorites,text,permalink
08/20/18,0,0,Good Afternoon. The train that was scheduled to depart at 1:55 pm was removed from customer service because of a mechanical problem. We are seeing a train departed at 2:07 pm. Were you able to board this train? ^JZ,https://twitter.com/NYCTSubway/status/1031605077193240577
08/20/18,3,4,Jamaica-bound J trains are running with delays because of a train with mechanical problems at 104 St.,https://twitter.com/NYCTSubway/status/1031587940684709889
08/20/18,4,8,Northbound A and D trains are running local from 59 St-Columbus Circle to 125 St because of a work train with mechanical problems at 72 St.,https://twitter.com/NYCTSubway/status/1031478854953697281
08/20/18,4,7,Southbound N trains are running with delays because of a work train with mechanical problems at City Hall.,https://twitter.com/NYCTSubway/status/1031443430667374592
08/20/18,0,1,Good morning. There is a work train that experienced a mechanical problem at High St. We see that the train is now proceeding. Your train will now be proceeding. We are sorry for the delay. ^JG,https://twitter.com/NYCTSubway/status/1031436117332189185
08/20/18,4,7,Southbound A and F trains are running with delays because of a work train with mechanical problems at High St.,https://twitter.com/NYCTSubway/status/1031435027194802182
08/19/18,0,0,Always a mechanical problem with the subways,https://twitter.com/KennethWinbron1/status/1031375087910506496
08/19/18,4,4,Northbound 4 trains are running with delays because of a train with mechanical problems at Bowling Green.,https://twitter.com/NYCTSubway/status/1031374776915435521
08/19/18,0,0,"Hi, Jared. There was a J train that encountered mechanical problems. We're currently taking that train out of service at Broad St. ^JL",https://twitter.com/NYCTSubway/status/1031183709536444417
08/19/18,0,0,"Good morning Elvir, it's not usually a premeditated thing. When it happens it can be a variety of reasons, such as - debris on the tracks, customer pulling the cord, signal problem, mechanical issue etc. We're not usually certain until(1/2)",https://twitter.com/NYCTSubway/status/1031156663556993026
08/18/18,1,4,Southbound D trains are running with delays because of a train with mechanical problems at 174-175 Sts.,https://twitter.com/NYCTSubway/status/1030793992118718464
08/17/18,0,0,@ NYCTSubway just had to get off a s/b 4 train at 149th due to a mechanical problem... What?,https://twitter.com/ariccio/status/1030576516336365570
08/17/18,0,0,"Sorry about that, Anthony. Thanks for letting us know. We'll look into this to see if that particular car has any mechanical problems.^AM",https://twitter.com/NYCTSubway/status/1030441644405993473
08/17/18,0,0,"Sorry about that, Jeevis. Thanks for letting us know. We'll look into this to see if that particular car has any mechanical problems.^AM",https://twitter.com/NYCTSubway/status/1030441401954299904
08/17/18,0,0,"Sorry about that, Josh. Thanks for letting us know. We'll look into this to see if that particular car has any mechanical problems.^AM",https://twitter.com/NYCTSubway/status/1030437760618905600
08/17/18,2,2,D and N train service has resumed following an earlier incident involving a train with mechanical problems at Atlantic Av-Barclays Ctr.,https://twitter.com/NYCTSubway/status/1030430920577302530
08/17/18,0,0,Good morning Dominick. We see that the scheduled 5:25 am departure from Bedford Park Blvd departed at 5:36 am because of a work train with a mechanical problem near Bedford Park Blvd. We are sorry for the delay. ^JG,https://twitter.com/NYCTSubway/status/1030390429022400512
